 -30.00 109.00  -1.10   1.00 121.30  -2.18   1.26 104.30   1.62
 -25.00 118.00  -1.16   1.01 131.00  -2.29   1.25 119.10   1.95
 -20.00 127.40  -1.22   1.01 140.80  -2.28   1.25 134.70   2.25
 -15.00 136.90  -1.26   1.01 150.60  -2.47   1.25 150.90   2.51
 -10.00 146.80  -1.30   1.01 160.00  -2.52   1.26 167.80   2.75
  -5.00 156.80  -1.34   1.01 168.30  -2.55   1.26 185.70   3.00
   0.00 167.20  -1.37   1.01 176.40  -2.60   1.26 204.90   3.25
   5.00 177.60  -1.40   1.01 183.70  -2.64   1.25 225.70   3.54
  10.00 188.30  -1.42   0.99 190.60  -2.68   1.24 248.10   3.85
  15.00 199.20  -1.43   0.97 197.00  -2.72   1.21 271.90   4.17
  20.00 210.00  -1.44   0.95 202.80  -2.74   1.18 281.10   4.49
  25.00 221.00  -1.44   0.92 208.10  -2.75   1.15 306.20   4.81
  30.00 232.10  -1.43   0.88 213.10  -2.76   1.10 332.90   5.15
  35.00 243.20  -1.41   0.83 217.60  -2.75   1.04 361.80   5.54
  40.00 254.20  -1.39   0.77 221.70  -2.73   0.96 393.30   5.98
  45.00 265.00  -1.35   0.68 225.00  -2.69   0.85 427.70   6.48
  50.00 275.60  -1.30   0.59 227.80  -2.65   0.74 465.00   7.03
  55.00 286.10  -1.24   0.48 230.20  -2.60   0.61 504.90   7.60
  60.00 296.20  -1.16   0.39 231.90  -2.53   0.48 547.10   8.19
  65.00 306.00  -1.08   0.30 233.00  -2.45   0.37 591.10   8.75
  70.00 315.60  -0.98   0.24 233.60  -2.36   0.29 636.00   9.26
 
 
